This is a testharness.js-based test.
PASS effectAllowed: uninitialized dropEffect: copy 
PASS effectAllowed: copy dropEffect: copy 
PASS effectAllowed: copyLink dropEffect: copy 
PASS effectAllowed: copyMove dropEffect: copy 
PASS effectAllowed: link dropEffect: copy 
PASS effectAllowed: linkMove dropEffect: copy 
PASS effectAllowed: move dropEffect: copy 
PASS effectAllowed: all dropEffect: copy 
PASS effectAllowed: none dropEffect: copy 
PASS effectAllowed: dummy dropEffect: copy 
PASS effectAllowed: undefined dropEffect: copy 
PASS effectAllowed: uninitialized dropEffect: link 
PASS effectAllowed: copy dropEffect: link 
PASS effectAllowed: copyLink dropEffect: link 
PASS effectAllowed: copyMove dropEffect: link 
PASS effectAllowed: link dropEffect: link 
PASS effectAllowed: linkMove dropEffect: link 
PASS effectAllowed: move dropEffect: link 
PASS effectAllowed: all dropEffect: link 
PASS effectAllowed: none dropEffect: link 
PASS effectAllowed: dummy dropEffect: link 
PASS effectAllowed: undefined dropEffect: link 
PASS effectAllowed: uninitialized dropEffect: move 
PASS effectAllowed: copy dropEffect: move 
PASS effectAllowed: copyLink dropEffect: move 
PASS effectAllowed: copyMove dropEffect: move 
PASS effectAllowed: link dropEffect: move 
PASS effectAllowed: linkMove dropEffect: move 
PASS effectAllowed: move dropEffect: move 
PASS effectAllowed: all dropEffect: move 
PASS effectAllowed: none dropEffect: move 
PASS effectAllowed: dummy dropEffect: move 
PASS effectAllowed: undefined dropEffect: move 
PASS effectAllowed: uninitialized dropEffect: none 
PASS effectAllowed: copy dropEffect: none 
PASS effectAllowed: copyLink dropEffect: none 
PASS effectAllowed: copyMove dropEffect: none 
PASS effectAllowed: link dropEffect: none 
PASS effectAllowed: linkMove dropEffect: none 
PASS effectAllowed: move dropEffect: none 
PASS effectAllowed: all dropEffect: none 
PASS effectAllowed: none dropEffect: none 
PASS effectAllowed: dummy dropEffect: none 
PASS effectAllowed: undefined dropEffect: none 
PASS effectAllowed: uninitialized dropEffect: dummy 
PASS effectAllowed: copy dropEffect: dummy 
PASS effectAllowed: copyLink dropEffect: dummy 
PASS effectAllowed: copyMove dropEffect: dummy 
PASS effectAllowed: link dropEffect: dummy 
PASS effectAllowed: linkMove dropEffect: dummy 
PASS effectAllowed: move dropEffect: dummy 
PASS effectAllowed: all dropEffect: dummy 
PASS effectAllowed: none dropEffect: dummy 
PASS effectAllowed: dummy dropEffect: dummy 
PASS effectAllowed: undefined dropEffect: dummy 
PASS all tests complete 
Harness: the test ran to completion.

